tweet_original_text,tweet_full_text,tweet_id,tweet_emotion,created_at
Shop the #floral #summer #dress #for your #baby #girl from #Fashion #Playground! This dress will not only provide a #stylish #look but also keep your tot #comfortable! Also available in #pink. https://t.co/Zg8Qg0QWG3 https://t.co/W6v62tjJx1,Shop the  floral  summer  dress  for your  baby  girl from  Fashion  Playground ! This dress will not only provide a  stylish  look but also keep your tot  comfortable ! Also available in  pink .,1237586924073652225,pleasant,Wed Mar 11 03:51:30 +0000 2020
It enables us to be #comfortable with our good #qualities as well as our #failures.  Humility is nothing other than being #honest and true about our lives and being comfortable with that person.,It enables us to be  comfortable with our good  qualities as well as our  failures . Humility is nothing other than being  honest and true about our lives and being comfortable with that person .,1237355352942878720,pleasant,Tue Mar 10 12:31:19 +0000 2020
"#mondaysmail 💌
Keep pushing, the sky's🌌 the limit! You never know what your made of. Remember 🤔 you have to be uncomfortable to get #comfortable 😎. This produces #growth 📈

#capable 🤗
#positivevibes… https://t.co/OFKVKNvOAk"," mondaysmail 💌 Keep pushing , the skys🌌 the limit ! You never know what your made of . Remember 🤔 you have to be uncomfortable to get  comfortable 😎 . This produces  growth 📈  capable 🤗  positivevibes…",1236963397196972033,pleasant,Mon Mar 09 10:33:50 +0000 2020
"Do you want to attain an #amazing #look with enhanced #eyesight? Get in touch with #Kabeer_Optics to buy durable and #comfortable #eyewear products. Experience the #quality personified by #elegance. 

https://t.co/HakUkBkVCN https://t.co/1zS6TWTuq5",Do you want to attain an  amazing  look with enhanced  eyesight ? Get in touch with  KabeerOptics to buy durable and  comfortable  eyewear products . Experience the  quality personified by  elegance .,1236879418393530368,pleasant,Mon Mar 09 05:00:08 +0000 2020
"The Bali #bed is designed to be #comfortable, #safe and #fun. This #paediatricbed has #nogaps minimizing the chance of #entrapment and #bespoke to ensure effective #kneebreak and #backrest #profiling. #Personalize the Bali with #bright #colours and #custom #themes. @Act4Kidz https://t.co/VWWOSlDzPR","The Bali  bed is designed to be  comfortable ,  safe and  fun . This  paediatricbed has  nogaps minimizing the chance of  entrapment and  bespoke to ensure effective  kneebreak and  backrest  profiling .  Personalize the Bali with  bright  colours and  custom  themes .",1235554815612203016,pleasant,Thu Mar 05 13:16:38 +0000 2020
"Whether you're #traveling for #business or enjoying a leisurely #vacation, our welcoming #rooms are sure to keep you #comfortable during your time with us. Stop by our #website today to plan your #nextvisit. https://t.co/pKQBZMCN9U","Whether you are  traveling for  business or enjoying a leisurely  vacation , our welcoming  rooms are sure to keep you  comfortable during your time with us . Stop by our  website today to plan your  nextvisit .",1235355796357156864,pleasant,Thu Mar 05 00:05:48 +0000 2020
"Oh my! We didn't realise that #peeling could be so #comfortable! Check out the @KitchenCraft #Colourworks #palmpeeler - only £4.75 in store, in a range of #bright #colours!

#cookshop #essex #potatopeeler #fruit #potatoes #foodprep #dinner #dine #entertain #kitchen #kitchengadget https://t.co/sKZ9ZpOVus","Oh my ! We did not realise that  peeling could be so  comfortable ! Check out the  Colourworks  palmpeeler  only £4.75 in store , in a range of  bright  colours !",1235112747781636098,pleasant,Wed Mar 04 08:00:01 +0000 2020
"Walk in style and comfort with a pair.

#mensfashion #mensfootwear #sportsshoes #comfortable #shoeshopping #shoes #confidence #shoelover #shoestyle #trending #trendyshoes #jqr #jqrsports https://t.co/JByioNyqAs",Walk in style and comfort with a pair .,1235065533994659841,pleasant,Wed Mar 04 04:52:24 +0000 2020
it’s just. #voicemail #voice #hearyourvoice #takecareofeachother #takecare #listen #message #iphone #memories #mentalhealth #mentalhealthawareness #itsok #itsokaynottobeokay #justnice #comfortable #thought #heal… https://t.co/JeKlBlJEGU,it is just .  voicemail  voice  hearyourvoice  takecareofeachother  takecare  listen  message  iphone  memories  mentalhealth  mentalhealthawareness  itsok  itsokaynottobeokay  justnice  comfortable  thought  heal…,1235026315415191552,pleasant,Wed Mar 04 02:16:33 +0000 2020
"This style screams total female rebellion at its most stylish &amp; comfortable form

#whatcouldiweartoday #oversized #womenswear #suit #business #casual #event #female #rebellion #stylish #comfortable #streetstyle #styleinspiration #styleblogger #fashionista #joburg #fashionblogger https://t.co/ep5cN2WRFr",This style screams total female rebellion at its most stylish  amp ; comfortable form,1234810933224132609,pleasant,Tue Mar 03 12:00:42 +0000 2020
"Let's talk style and savings! Signup for special offers, outfit inspiration and more.
Visit our website - https://t.co/zD8AMfsd8Y
You can also Whatsapp or Call us at +91 6391 021 946
#mymyfootwear #mymy #signup #offer #footwear #leather #comfortable #elegant #stylish https://t.co/5Uqr62EK3s","let us talk style and savings ! Signup for special offers , outfit inspiration and more . Visit our website  You can also Whatsapp or Call us at 91 6391 021 946",1234751718119727104,pleasant,Tue Mar 03 08:05:24 +0000 2020
Oh.. Hey.. @FadeGrips THEY CAME AND THEY'RE AWESOME! Cant wait to start running around in @play_pso2 with these boys! Dont forget to use code MiniGG to save some 💰💰💰🌋🌋 #affiliate #code #savingmoney #grip #comfortable #overwatch #follow #anitwt #SupportSmallStreamers https://t.co/NKDIxE9eQw,Oh.. Hey.. THEY CAME AND they are AWESOME ! can not wait to start running around in with these boys ! do not forget to use code MiniGG to save some 💰💰💰🌋🌋,1234563490951704577,pleasant,Mon Mar 02 19:37:27 +0000 2020
"Good morning!

Been working a lot with #forgiveness as of late I am talking about it first on Twitter as I do feel most #comfortable here
#thankyou for that #friends you are the best!

💯🌈😁👍🏻

HAVE A GREAT DAY! https://t.co/eu0aN1UWln",Good morning ! Been working a lot with  forgiveness as of late I am talking about it first on Twitter as I do feel most  comfortable here  thankyou for that  friends you are the best ! 💯🌈😁👍🏻 HAVE A GREAT DAY !,1234457816590684160,pleasant,Mon Mar 02 12:37:33 +0000 2020
"Do you #feel #comfortable in your #skin? 😚👭⁠
⁠-
This picture was #edited with our #Graphite #app ☺️ 
#art #artwork #workofart #womens #womensday #vacation #swim #womenstyle #womensfashion #international #tweet
-
👉🏻Check it out on the App Store here: 
https://t.co/CtfBBU38pc https://t.co/shjrXE8MZG",Do you  feel  comfortable in your  skin ? 😚👭⁠ ⁠ This picture was  edited with our  Graphite  app ☺️  👉🏻Check it out on the App Store here :,1234391966340861953,pleasant,Mon Mar 02 08:15:53 +0000 2020
"We train our security forces for your safety and comfort.
Contact us for further details.
.
.
.
#services #securitytraining #managementservice #securitytraininginkolkata #kolkatamanagementservice #kfmindia #safety #comfortable #awareness https://t.co/PK8gaHvk58",We train our security forces for your safety and comfort . Contact us for further details . . . .,1234359893714276354,pleasant,Mon Mar 02 06:08:26 +0000 2020
"Our Lord is a loving and generous God, who will always be there for you. We pray you have a blessed day. #bellshillchurch #Church #welcome #community #love #Prayer #god #Blessings @churchscotland https://t.co/6BKO6sJ1Cb","Our Lord is a loving and generous God , who will always be there for you . We pray you have a blessed day .",1238031339343020034,pleasant,Thu Mar 12 09:17:27 +0000 2020
